lng,lat
110.364511,1.578882
-75.242136,39.97305
115.21876,-8.6596
115.217866,-8.66187
-76.306308,36.884084
100.486327,13.7595
112.61879,-7.95748
110.438929,-7.05444
1.692638,45.042692
-48.018235,-15.804027
124.83521,1.48211
103.837575,1.428492
0.163502,49.49681
103.857692,1.291224
-0.380929,49.294852
-80.106344,26.754898
120.528369,14.68782
28.400933,-25.705697
-85.386921,36.263261
115.21029,-8.6332
-1.57562,6.67766
121.013596,14.736027
106.633733,-6.194724
-81.005822,32.036662
-74.292373,40.67678
-74.768554,40.116363
121.134877,14.615003
-79.978684,40.200768
-1.240327,51.603873
37.9039,-0.0244
-2.794664,53.725573
37.9039,-0.0244
-83.160827,42.231082
-77.337014,38.952738
110.37911,-7.78252
16.545778,59.611185
103.832514,1.293793
-3.168966,51.479276
-1.264521,60.355767
127.023351,37.518358
73.460044,34.356331
4.488362,51.920254
0.134604,49.487329
103.932102,1.373074
106.809408,-6.231212
50.540091,26.127977
28.832364,40.95791
100.567632,13.742195
101.742297,3.229924
-0.572863,44.832001
115.987246,-32.227351
-83.285027,41.465041
-85.655884,40.111386
115.1778,-8.72673
121.029313,14.413546
-82.039412,38.412527
3.154427,6.671875
112.75077,-7.26166
123.919504,10.325365
5.756989,49.493557
-82.509221,27.401143
4.488362,51.920254
101.752215,3.132906
-1.568682,53.81229
3.822037,43.639001
-6.247683,53.350885
101.657125,2.922754
23.797944,38.0226
106.81277,-6.60944
119.4131,-5.1332
-60.268564,46.253881
101.759875,3.046052
47.939121,29.304296
-90.410819,38.554963
-1.156347,51.892288
-2.6287,50.94556
2.276128,48.87149
119.42385,-5.16986
110.352414,1.556177
106.993958,-6.173379
115.2235,-8.65481
-2.6287,50.94556
-73.920731,40.838547
-0.725381,51.42345
-0.145501,51.4469
110.438929,-7.05444
151.210075,-33.901745
-1.2851,53.422544
106.705094,-6.290518
101.559969,3.403019
120.981221,14.534058
150.827026,-34.07209
103.941606,1.314624
51.498024,25.275149
151.202215,-33.883787
-90.204374,29.995834
2.165833,48.933451
18.393095,-33.912054
-83.057129,42.314984
-2.628703,50.945568
31.484551,30.057057
55.280542,25.196942
124.82396,1.46125
-80.946084,34.015261
17.795651,59.190066
-83.058886,40.004835
-81.19046,35.746827
2.196815,48.956265
121.150952,14.521373
119.42378,-5.1699
116.98606,-0.41814
2.335388,48.873804
101.767277,3.115454
-122.609843,45.495845
7.675639,48.63367
-96.917348,31.476441
-73.860791,40.888279
101.448598,3.104435
103.751871,1.379149
55.27742,25.202441
-117.96938,33.704935
118.592215,24.917029
7.28468,47.759354
120.771573,15.109093
-79.550302,43.702262
3.154459,6.671856
115.26347,-8.51592
-2.628703,50.945568
-1.285166,53.42261
107.63053,-6.97759
0.578119,48.043405
-73.996985,40.72092
115.649567,-32.594632
124.655961,8.483037
-95.613907,29.688762
2.471153,47.780503
-71.501456,42.396787
139.705659,35.668586
110.76219,-7.54656
8.077566,48.975888
-85.746947,39.805327
25.93334,-24.66266
121.053496,14.545596
116.85764,-1.24468
28.06409,-26.09098
122.748553,11.601082
121.023245,14.621791
106.727593,-6.287809
145.723281,15.18332
5.04077,47.300014
-83.722367,36.609818
121.009958,14.393192
116.857926,-1.244701
-1.463742,53.776728
25.258985,54.685313
1.137759,52.053077
101.67733,3.118083
120.80646,14.872587
2.174315,48.678101
120.952575,14.65457
112.73649,-7.27443
3.154453,6.671841
-85.399965,44.875406
31.484551,30.057057
-3.12336,51.192195
72.856355,19.14893
12.480812,41.9069
100.540556,13.754167
-94.633901,39.101999
-1.570669,6.685796
-75.650751,39.680308
-94.932839,38.801003
102.885338,11.777533
-95.358837,29.709529
124.83113,1.47242
7.475074,9.043716
-117.275362,34.101958
-83.059856,40.007828
-0.06126,51.595832
112.728677,-7.214419
144.574893,-37.693966
