text,lat,lng,value
location178,45.53147,-122.65557,11.1
location179,38.45707,-81.93049,13.1
location180,28.03257,-82.43313,12.5
location181,42.27021,-85.65723,11.5
location182,32.33707,-110.96881,12.3
location183,32.78875,-96.80952,13.1
location184,39.92443,-86.22533,11.8
location185,40.03044,-76.23314,10.8
location186,42.03634,-87.97995,12.4
location187,42.91305,-85.52616,13.1
location188,34.18913,-79.83279,13.2
location189,37.04005,-76.38749,12.9
location190,38.89654,-77.01157,10.3
location191,38.96101,-77.08374,12.7
location192,40.30635,-76.84819,13.0
location193,40.7444,-73.9889,11.3
location194,42.46876,-71.02538,12.0
location195,33.46481,-112.17163,12.1
location196,25.81213,-80.12316,13.0
location197,28.75808,-81.36033,13.8
location198,36.25447,-120.23819,13.2
location199,42.07053,-80.04062,12.0
location200,26.10056,-80.10738,14.0
location201,33.98264,-117.37316,11.6
location202,29.75724,-95.35797,12.8
location203,39.05199,-94.59328,12.7
location204,33.45008,-112.07123,13.0
location205,41.99551,-87.86165,8.4
location206,31.83613,-106.5672,10.9
location207,36.11481,-115.17278,10.9
location208,27.94643,-82.4592,13.2
location209,32.3376,-111.07026,11.3
location210,32.60206,-80.09274,13.2
location211,38.8067,-77.05958,5.4
location212,38.17956,-85.71789,12.0
location213,33.62289,-111.93173,12.4
location214,39.96888,-82.99842,9.9
location215,33.94794,-118.38597,11.4
location216,39.06279,-76.83925,12.0
location217,33.5948,-112.06495,11.8
location218,32.74756,-97.32538,12.8
location219,40.73672,-73.98878,13.7
location220,43.68797,-116.35253,11.1
location221,27.97888,-82.8274,12.7
location222,32.3226,-110.92664,12.5
location223,32.94078,-117.19988,12.0
location224,40.43615,-79.75707,12.6
location225,39.93033,-74.96142,10.2
location226,40.28829,-74.69035,12.5
location227,40.79694,-74.34979,13.7
location228,35.96045,-83.91962,13.5
location229,40.9917,-81.49234,11.2
location230,33.91315,-118.07058,13.2
location231,39.74612,-104.98919,12.9
location232,39.11787,-77.18316,9.4
location233,35.79099,-80.86012,13.0
location234,40.6755,-80.09899,12.4
location235,36.79079,-76.23454,12.9
location236,42.98939,-78.79242,11.6
location237,41.63848,-81.37227,10.0
location238,36.14578,-86.66771,12.9
location239,30.16478,-97.4466,13.6
location240,40.12732,-74.9702,12.2
location241,25.73997,-80.26233,12.6
location242,37.64734,-122.40552,11.8
location243,39.85376,-84.192,11.8
location244,41.016,-71.99347,11.4
location245,41.72614,-85.97314,12.8
location246,21.27576,-157.82532,8.7
location247,29.4615,-98.68181,9.1
location248,37.27368,-79.93891,13.8
location249,38.22652,-85.58231,13.3
location250,32.80973,-96.84755,13.8
location251,37.35947,-122.0221,11.1
location252,42.74233,-78.84821,11.6
location253,41.89377,-87.62674,13.0
location254,47.70867,-122.33261,11.9
location255,21.27535,-157.82236,7.9
location256,38.80439,-76.98071,12.9
location257,43.09041,-76.09257,12.3
location258,34.14447,-83.97083,14.4
location259,38.19986,-85.68687,13.6
location260,33.5229,-112.02317,12.6
location261,39.77951,-84.0523,12.5
location262,41.01967,-80.63101,11.2
location263,30.2494,-81.59766,12.7
location264,25.8063,-80.12439,15.3
location265,33.7724,-116.41935,11.4
location266,29.78665,-95.65794,10.7
location267,47.6128,-122.33377,10.6
location268,33.41214,-111.97154,9.9
location269,40.44845,-80.15818,12.1
location270,39.09818,-94.58436,12.5
